city,party,votes,total_votes,party_share,source
delhi,other,370,7217537,5.12640253870538e-05,Constituency
delhi,other,1579,7217537,0.000218772692124751,Constituency
delhi,other,1648,7217537,0.000228332740102337,Constituency
delhi,other,249,7217537,3.44993035712875e-05,Constituency
delhi,other,551,7217537,7.63418324007206e-05,Constituency
delhi,other,1440,7217537,0.000199514044749615,Constituency
delhi,other,2244,7217537,0.000310909386401483,Constituency
delhi,other,475,7217537,6.58119244833799e-05,Constituency
delhi,other,3029,7217537,0.000419672251074016,Constituency
delhi,other,805,7217537,0.000111533893071833,Constituency
delhi,other,1291,7217537,0.000178869883174828,Constituency
delhi,other,699,7217537,9.68474425555421e-05,Constituency
delhi,other,943,7217537,0.000130653989027005,Constituency
delhi,other,314,7217537,4.35051458690132e-05,Constituency
lucknow,other,2104,2386039,0.0008817961483446,Constituency
lucknow,other,739,2386039,0.000309718323967043,Constituency
lucknow,other,1251,2386039,0.000524299896187782,Constituency
lucknow,other,4283,2386039,0.00179502514418247,Constituency
lucknow,bjp,1263025,2386039,0.529339629402537,Constituency
lucknow,bsp,539795,2386039,0.226230585501746,Constituency
lucknow,inc,240080,2386039,0.100618640349131,Constituency
lucknow,other,12297,2386039,0.00515372967499693,Constituency
lucknow,other,572,2386039,0.000239727850215357,Constituency
lucknow,other,2636,2386039,0.00110475981323021,Constituency
lucknow,other,474,2386039,0.000198655596157481,Constituency
lucknow,other,1443,2386039,0.000604767985770559,Constituency
lucknow,other,935,2386039,0.000391862832082795,Constituency
lucknow,other,18211,2386039,0.00763231447599976,Constituency
lucknow,other,1895,2386039,0.000794203279996681,Constituency
lucknow,other,7976,2386039,0.0033427785547512,Constituency
lucknow,other,569,2386039,0.000238470536315626,Constituency
lucknow,other,1515,2386039,0.000634943519364101,Constituency
lucknow,other,515,2386039,0.00021583888612047,Constituency
lucknow,sp,285724,2386039,0.119748252228903,Constituency
delhi,bjp,67,81,0.82716049382716,Sample
delhi,bsp,7,81,0.0864197530864198,Sample
delhi,inc,7,81,0.0864197530864198,Sample
lucknow,bjp,61,94,0.648936170212766,Sample
lucknow,inc,2,94,0.0212765957446809,Sample
lucknow,sp,31,94,0.329787234042553,Sample
delhi,aaap,0,81,0,Sample
delhi,other,0,81,0,Sample
lucknow,bsp,0,94,0,Sample
lucknow,other,0,94,0,Sample
